Name,Date,Stars,Review
Pookie,"December 13, 2014",5.0,Make sure you save enough time to read this book. Hard to stop once you stop. Starts a little disjointed so curiosity dictates you stay with it until it all comes together. That will amaze you.,1.0,objective review
Nancy Williamson,"November 19, 2014",4.0,Hard to start but once you got used to the stream of consciousness writing style it was very enjoyable and thought provoking.,1.0,objective review
Noah Klein,"March 31, 2014",4.0,"Solidly written. One of those many-intertwined-lives of strangers type stories. Enjoyable read, and while the author gets bogged down with certain writing elements (long lists of random items for sound purposes) overall a very well written novel. Would recommend to anyone looking for an alternative to the trilogy drivel.",1.0,objective review
Stewart E. Tabin,"March 28, 2014",5.0,"Beautiful writing, conveys great emotional depth. His turn of phrase is very elegant. It's well worth another read. Highly recommended.",0.8333333333333333,positve review
Brooke Wiggins,"March 23, 2014",5.0,"Beautifully written novel set mainly in New York City depicting the lives of a wide variety of individuals and how they're actions impact one another. From priest to prostitute, judge to tight rope walker, Park Avenue to the projects, this story defines as well as defies stereotypes of several individuals intricately and truthfully portraying their humanism. The story flawlessly weaves together as it jumps to and from the different characters perspectives. Great read!",0.38888888888888884,negative review
Angela Chopyak,"March 20, 2014",5.0,I enjoyed the different characters and how the author developed each one if them in a way that you could easily picture them. I didn't think that he tied the idea tightly. If he wanted to focus on the tight rope walker he could have had more direct interaction.,0.6666666666666666,negative review
Ann,"March 19, 2014",4.0,"This was our book club selection. At first I found it difficult to connect, but kept reading and found the intertwining of the characters very interesting. For me it was not a page turner, but after finishing it - I would give it a good rating and it is great for book club discussion. Not a beach reading book (my opinion) but more a rainy day book.",1.0,objective review
P. Lee,"March 17, 2014",3.0,"A friend recommended this book so I was eager to read it. At first, it was okay...sort of drew me in the way a good book should. But, after sticking with it for many chapters, I put it down and will not finish it. In my opinion, it was way too descriptive...even a little annoying and difficult to follow the characters. Let's just say, it's not for everyone.",1.0,objective review
"Vicki L. Schoell ""beaner""","March 17, 2014",3.0,"While each character is very deeply explored, the book tends to be too wordy for me. I like a little more action. As each chapter jumps from one character to another, it was a little hard at first figuring out which character was talking. It is interesting how the characters are inter-related.",1.0,objective review
Carol Cox Payne,"March 15, 2014",3.0,"It was difficult to get into the story. As I progressed about half way through the book, I did start to enjoy it more.",0.5,negative review
Dorthy Parker (USA),"March 14, 2014",5.0,"This book is beautiful. A well crafted story, with a strong sense of history. Set in NYC in the 1970's it is unforgettable.",1.0,objective review
Christin Grant,"March 14, 2014",4.0,"Although this book first seems like it's about a tight rope walker, it quickly moves into various stories that all connect in the end. I read it for my book club and the consensus was that we enjoyed it for the most part.",0.4583333333333333,negative review
"B. BOYD (Guilford, CT USA)","November 19, 2014",5.0,One of the best novels I've ever read.,1, failed
kec,"March 7, 2014",5.0,"Most beautiful book I have reAd in years. Masterful character development! Complex, poignant interweaving of lives.... All spinning beneath the wire! Thank you!",1.0,objective review
kathleen adisano,"February 28, 2014",5.0,Finally a book written with fabulous storing telling that draws you in from the start till the very last line. A great fictional delight.,1.0,objective review
