Name,Date,Stars,Review
J. Willis (London),13 Jun 2012,4.0,"Let the Great World Spin is a great read, the author manages to tie up all the various threads in each of the storylines without making the novel seem forced or contrived. The characters all carried their own burdens and the life's of the rich, poor and tragic are well drawn without being sentimental. The author does not try to deliberately pull on the readers heart-strings or push some kind of agenda (which given the characters and setting would be very easy to do) but instead lets the lives' and the stories play out and the characters fall where they fall.

Overall while it's not a novel that I would read again, it was very enjoyable and I would read more of this authors work.",1.0,objective review,1.0,objective review
History addict (UK),19 Aug 2011,4.0,This is an interesting book based (very loosely) on an actual event ie a man walking a wire between the twin towers when they were newly built. However the story isn't really about this event but about the people who were affected by it. The cast of characters are very varied and not always expecially appealing. There are some very poignant moments and it does come to a more satisafactory end than I had imagined it might with quite a few twists and unexpected turns along the way. Worth a read but probably not a good holiday read as too thought provoking for that.,0.9285714285714286,objective review,0.9285714285714286,objective review
flic,8 Aug 2011,2.0,"I really found it hard to connect with this book and its interwoven web of characters.I cant identify a single thing i didint like but just felt it didint gel and certainly didint grab me I only finished it as it was a book club choice.I never got a real understanding of any of the characters and felt there was too many to be fully formed and explored

I personally wouldnt recommend this book but am sure that there are many who will enjoy it - it was just not for me",0.9166666666666666,objective review,0.9166666666666666,objective review
Cfr07 (Ireland),20 July 2011,3.0,"The books centres around a series of characers and their lives at the time Phillipe Petit did his tightrope walk between the twin towers in 74. I liked the gritty descriptions of NY in the 70's which reminds us it wasn't always the way it is today. I did struggle to understand the point of the piece about Fernando the 13yr old photographer. If this section had been left out if would have made no difference whatsoever, in fact it might have improved things. It was ""well written"" as so many others have described it but parts of the book rambled on for far longer than necessary & I didn't like the ending at all. Overall I enjoyed it but its not a book I would pick up and read again. I think the hype surrounding this book have made it appear a lot better than it actually is.",0.9166666666666667,objective review,0.9166666666666667,objective review
"Conatus (Avoca,Ireland)",16 Jun 2011,1.0,"I read this book a year or so ago and had forgotten about it until I noticed it picked up a big Irish literary prize the other day. I found it very uninspiring and couldn't empathise with any of the characters and the ending felt as cliched as a movie you want to fast-forward to reach the credits. Takes all sorts, I suppose, but for me it's nowhere near the expectations raised by the hype.",0.8333333333333334,objective review,0.8333333333333334,objective review
"S. Harvey ""Sandy Harvey"" (England)",19 May 2011,3.0,"The whole book is well written but the key focus of the book is to tell the tales of different characters and I found this massively influenced how much I enjoyed, or not, the particular section. for example, I found the character of Corrigan, a radical Irish monk, not only unbelievable but unsympathetic, whilst I got really involved with the tales of Claire and Gloria. The overall character in the book is, in my view, New York itself and I really enjoyed that part.

I would certainly read more of this author's work.",0.9444444444444445,objective review,0.9444444444444445,objective review
carole gillis (Lund Sweden),11 Jan 2011,4.0,"A new version of the old theme of total strangers' lives gradually touching and intertwining, this time set in New York City in 1974.... The descriptions of the tightrope artist dancing blithely on the wire between the twin towers were perhaps the most interesting, letting the reader see not so much the motivation for attempting this amazing feat of daring-do, but his mental preparations, drawing into himself. In fact, McCann lets us look into the lives and thoughts of an array of extreme characters -- a bunch of Black hookers, an Irish semi-saint, a group of grieving mothers and their ways of coping with the loss of their sons in Vietnam -- in an almost always convincing way. I can't really say why I gave the book 4 stars rather than 5--it was a great read, but perhaps because I wasn't totally absorbed into the characters and plot, but more sat on the edge looking in: for example, I could read and understand the terrible grief of the sorrowing mothers but couldn't really feel it.",1.0,objective review,1.0,objective review
A. MALIK (UK),22 Sep 2010,5.0,"What starts off as a story of a most unusual irish monk in New York, quickly spins into a rich tapestry of characters in a city, and country on the cusp of turmoil.",0.25,negative review,0.25,negative review
"L. P. Woodhams ""lwoodhams2"" (UK)",5 Sep 2010,5.0,"I admired the literary, accessible use of language, the clever links between characters, the brilliant plot and McCann's fantastic ability to inspire a real sense of awe and compassion. The way in which a real historic event combines with everyday lives is remarkably well handled. The story unfolds in a multi-layered, very satisfying way and parallels with future events to add a further dimension. I had to stop reading the chapter about the actual high wire performance as I was on an aeroplane at the time, well above the highest buildings of New York and it all became a little terrifying! Elements of the ending were perhaps less than plausible but otherwise this is a brilliant book, hugely enjoyable and one I would consider as one of the best I've read in two years or more.",0.7333333333333333,positve review,0.7333333333333333,positve review
Lucy Talk (London),22 Aug 2010,3.0,"A series of stories about the intertwined lives of New Yorkers, this book captures the essence of the city. The act that knits these lives together is a high wire walk between the twin towers, yet this momentous feat seemed strangely underplayed. A struggling Irish monk who falls in love, a group of grieving mothers, a huddle of New York prostitutes - the characters seemed predictable and one of the book's central themes - of loss and longing - only left a fleeting impression. I enjoyed it, but wouldn't read it again.",0.8666666666666668,objective review,0.8666666666666668,objective review
alexandra,15 Aug 2010,3.0,We read this book for book club. While I enjoyed it I found it very heavy reading and would have given up had it not been a book club book. I thought the idea of writing about different people and linking them up was very clever and ambitious but somehow it did not work for me as I felt the author had intended. I would be interested to read more about the tightrope walker as I thought he was the most interesting character in the book.,1.0,objective review,1.0,objective review
"Victoria Field ""fal"" (Cornwall UK)",26 Feb 2012,4.0,"This was an amazing book in many ways. At its heart, I think it is a meditation on goodness set against the backdrop of New York. The frame for all the stories is a tight rope walker going between the twin towers. The stories themselves stand independently, then later weave together. Throughout the book, characters have small and large moral dilemmas which they either rise to or fail to do so.

The setting of 1974 seems slightly arbitrary except that it clearly isn't now. The future role of computers is a theme so perhaps it was chosen as the dawn of our cyber-age. It also seems more innocent and the idea of the two Irish brothers going to New York is much more exciting than it would be in our time of hyper-mobility. The character of the priest Corrigan is marvellously drawn and challenges so many ideas of what a life is for. The lives of the sex-workers are fully realised and profoundly sad. Some of the characters, as in life, appear and disappear and it's somehow surprising to see which ones get picked up again in the loose-end tying towards the end of the novel.

The writing is simply superb - it sings from the page and is original and exciting at a sentence level. It also captures the voices of the characters superbly, whether first or third person. I would have given the novel five stars if it weren't just a bit too long. The quick-fire dialogue of the computer hackers, I just skipped, and by the time we had Gloria's back story, I was ready to look forward.

Some of the reviewers here have criticised the artifice of the novel. I think this is part of its beauty, the slight arbitrariness, the unlikely conjunctions of people and events.

I'm still pondering the Tennyson connection - the title and the chapter headings are taken from the poem Locksley Hall - if it comes to me, I'll post again!

I loved the author's note in which he sums up the point of a novel about sad and difficult lives - `Is there any hope that this desolation can bring me solace' - throughout this novel, we find the solace of different kinds of goodness, beauty and connection. I recommend it highly.",1.0,objective review,1.0,objective review
Johnny TimeBomb,24 July 2010,5.0,"I can't recommend this novel highly enough. McCann's prose is near perfect, lyrical and beautiful. He weaves the lives of a dozen or so brilliantly realised characters together using the device of their shared experience of witnessing Philippe Petit's high wire walk between the twin towers of the WTC in 1974. Each character has a distinct and utterly convincing voice and a captavating story or point of view to share. McCann captures a real sense of time and place. This is just a brilliant piece of work from a great author.",1.0,objective review,1.0,objective review
Timothy Clarke,22 July 2010,1.0,"This is a very well written book; and that's where it all ends. The novel consists of a series of short linking stories, but the stories are fairly uninteresting. The book is too earnset, vain and conceited. Yes, it is written beautifully, but it is dull. There is alot of critical acclaim on the cover, but the fact is that beautiful writing cannot hide the lack of creativity in storytelling.",1.0,objective review,1.0,objective review
Moya Nolan (Ireland),18 May 2010,5.0,"One of the best books I've read in years: engaging storytelling, the strands move this way and that, intertwining and separating again like seaweed in the current, but firmly rooted in the rich back-ground of New York in the 70s. Although some characters are based on stereotypes, somehow they all come to life, so that on the one hand you experience a sense of loss when you've read the last page, but on the other hand you feel enriched for having ""met"" them.",1.0,objective review,1.0,objective review
Dave Kelly,25 Mar 2010,1.0,This is a book of interweaving tales of many people whose lives' seem to change around the instance of Phillipe Petits tightrope walk between the twin towers of the World Trade Centre in 1974. The book is written in the style of 1974 even though it was written in 2009. Its not a style I like - some of the less pretentious tales are good with likeable/sympathetic characters such as the priest and his hookers but the rich/arty characters turned me off. Id say it was a book for a certain type of person and I hope they enjoy it because it passed me by.,1.0,objective review,1.0,objective review
"John J. Hogan ""John Jo"" (Waltham abbey Essex)",21 April 2010,5.0,One of the best books I have read in a long time - great characters,1.0,objective review,1.0,objective review
